ID LOTE;DATA VENDA;TANQUE ORIGEM;N DIAS;ESPECIE;CUSTO DIARIO;CUSTOS TOTAIS;BIOMASSA;BIOMASSA ESPERADA TOTAL;LUCRO
6173;2022-01-03;TR645;101;Tilapia;357,4883144554455;36106,31976;7065,816;7337,010923;16887,3
6033;2022-01-03;TR641;117;Tilapia;313,4489723076923;36673,52976;7176,816;7947,050717;17152,59
6030;2022-01-04;TR647;119;Tilapia;305,64043647058827;36676,85237647059;7117,654;7611,346833;15922,61
6236;2022-01-04;TR663;97;Tilapia;359,0064742268041;35182,6344742268;6814,8;7361,408115;15178,74
6306;2022-01-04;TR637;85;Tilapia;414,2887411764706;35628,831741176466;6891,3;7733,596199;15297,88
6008;2022-01-05;TR620;120;Tilapia;303,8237795833333;37066,50110916667;7134,805;7536,21972;15731,06
6037;2022-01-05;TR245;118;Tilapia;166,66776;20000,1312;3848,688;3883,043875;8480,16
6024;2022-01-05;TR612;119;Tilapia;287,3320794117647;34767,18160882353;6691,295;7438,580341;14748,4
5792;2022-01-06;TR205;140;Tilapia;48,435500000000005;6926,2765;1327,0;1549,048773;2628,12
5709;2022-01-06;TR208;144;Tilapia;54,934451736111114;8075,364405208334;1584,055;1462,79586;3329,83
5739;2022-01-07;TR232;143;Tilapia;127,52969825174824;18746,865643006993;3568,835;3988,34165;7840,96
5821;2022-01-07;TR246;136;Tilapia;166,56247897058824;23318,74705588235;4432,974;4570,629346;9706,91
5948;2022-01-07;TR226;125;Tilapia;157,66295888;20338,521695519998;3856,726;3877,616425;8394,09
6035;2022-01-07;TR213;117;Tilapia;100,77094700854701;12193,284588034188;2307,28;2374,516899;4995,95
6206;2022-01-10;TR655;104;Tilapia;355,8682615384615;37010,2992;7242,72;7670,004151;17310,1
6331;2022-01-10;TR621;90;Tilapia;443,9728113333333;39957,55302;7819,482;7646,378858;18688,56
6185;2022-01-11;TR697;108;Tilapia;304,01107527777776;33137,20720527777;6425,283;7749,198655;14345,63
6018;2022-01-12;TR689;126;Tilapia;297,2299633333334;38045,43530666667;7328,958;8210,413221;16188,85
